,date,label,media,campaign,spend,imp,install,CPI,first_purchase,cpa,binned
717,2022.4.10,인스톨,페이스북,fb_app_install_catalog_ios_2201,1250212,244946,910,1374,18,69456,"(455.0, 910.0]"
718,2022.4.10,인스톨,페이스북,fb_app_install_static_aos_2202,82098,5747,2,41049,0,0,"(0.0, 455.0]"
730,2022.4.11,인스톨,페이스북,fb_app_install_catalog_aos_2201,727405,69402,648,1123,30,24247,"(455.0, 910.0]"
731,2022.4.11,인스톨,페이스북,fb_app_install_catalog_ios_2201,1212165,231567,912,1329,10,121216,"(910.0, 1365.0]"
732,2022.4.11,인스톨,페이스북,fb_app_install_static_aos_2202,79154,6426,0,0,0,0,
745,2022.4.12,인스톨,페이스북,fb_app_install_catalog_aos_2201,746105,66832,742,1006,26,28696,"(455.0, 910.0]"
746,2022.4.12,인스톨,페이스북,fb_app_install_catalog_ios_2201,1176387,213921,821,1433,13,90491,"(455.0, 910.0]"
747,2022.4.12,인스톨,페이스북,fb_app_install_static_aos_2202,51850,3426,2,25925,0,0,"(0.0, 455.0]"
759,2022.4.13,인스톨,페이스북,fb_app_install_catalog_aos_2201,787944,72796,706,1116,27,29183,"(455.0, 910.0]"
760,2022.4.13,인스톨,페이스북,fb_app_install_catalog_ios_2201,1184387,220274,725,1634,8,148048,"(455.0, 910.0]"
761,2022.4.13,인스톨,페이스북,fb_app_install_static_aos_2202,0,0,1,0,0,0,"(0.0, 455.0]"
774,2022.4.14,인스톨,페이스북,fb_app_install_catalog_aos_2201,787011,68838,768,1025,22,35773,"(455.0, 910.0]"
775,2022.4.14,인스톨,페이스북,fb_app_install_catalog_ios_2201,1184071,211913,798,1484,9,131563,"(455.0, 910.0]"
788,2022.4.15,인스톨,페이스북,fb_app_install_catalog_aos_2201,759549,69244,661,1149,29,26191,"(455.0, 910.0]"
789,2022.4.15,인스톨,페이스북,fb_app_install_catalog_ios_2201,1183755,222950,779,1520,12,98646,"(455.0, 910.0]"
800,2022.4.16,인스톨,페이스북,fb_app_install_catalog_aos_2201,833403,70598,703,1185,31,26884,"(455.0, 910.0]"
801,2022.4.16,인스톨,페이스북,fb_app_install_catalog_ios_2201,1209019,190523,777,1556,4,302255,"(455.0, 910.0]"
814,2022.4.17,인스톨,페이스북,fb_app_install_catalog_aos_2201,833503,78384,771,1081,38,21934,"(455.0, 910.0]"
815,2022.4.17,인스톨,페이스북,fb_app_install_catalog_ios_2201,1248819,245303,723,1727,13,96063,"(455.0, 910.0]"
